problem,algo,seed,HV,IGD
dtlz1,NSGA2,0,1.6972454081290604,0.028395755362333942
dtlz1,NSGA2,1,1.6985870572957769,0.027356288460713803
dtlz1,NSGA2,2,1.6984756095232207,0.026714855571767043
dtlz1,NSGA2,3,1.6972849054916863,0.028267022908616754
dtlz1,NSGA2,4,1.698369712953118,0.027833095307113833
dtlz1,NSGA2,5,1.6974138150014422,0.029100979053680878
dtlz1,NSGA2,6,1.6983381383742562,0.028798744492092798
dtlz1,NSGA2,7,1.6980390827518672,0.028293251650830006
dtlz1,NSGA2,8,1.6989405944147697,0.02706592343675375
dtlz1,NSGA2,9,1.6988246988250544,0.02712957696720341
dtlz1,NSGA2,10,1.6983086083111207,0.02766117465613996
dtlz1,NSGA2,11,1.6982156698828754,0.028250131242722548
dtlz1,NSGA2,12,1.697141958484147,0.028972803359710527
dtlz1,NSGA2,13,1.6978086927048666,0.0279993940913635
dtlz1,NSGA2,14,1.699015524703668,0.02653214030808019
dtlz1,NSGA2,15,1.6977689582962294,0.028297371720199888
dtlz1,NSGA2,16,1.6976769688870073,0.030559147997421314
dtlz1,NSGA2,17,1.697170296690125,0.02797593017229653
dtlz1,NSGA2,18,1.69820992425757,0.02737242993871366
dtlz1,NSGA2,19,1.699256521038774,0.027157433634348447
dtlz1,NSGA2,20,1.6979854726888621,0.027754334091172873
dtlz1,NSGA2,21,1.6986203452837034,0.027254701096385347
dtlz1,NSGA2,22,1.6995629376996013,0.02487544631773906
dtlz1,NSGA2,23,1.6976002583805518,0.02845314087190735
dtlz1,NSGA2,24,1.698458878295986,0.02673738185772431
dtlz1,NSGA2,25,1.697379939525895,0.027823019867762727
dtlz1,NSGA2,26,1.6974321274643107,0.026953719722385007
dtlz1,NSGA2,27,1.6983923512071906,0.02700795478386514
dtlz1,NSGA2,28,1.6985370125012245,0.027601270776546765
dtlz1,NSGA2,29,1.6989186188615784,0.026639377870337048
dtlz1,SMS_EMOA,0,1.7004110164035802,0.02020308426772356
dtlz1,SMS_EMOA,1,1.701026221010507,0.02012160830353239
dtlz1,SMS_EMOA,2,1.701273213454734,0.018924364456583843
dtlz1,SMS_EMOA,3,1.7005880891546141,0.01985406712502977
dtlz1,SMS_EMOA,4,1.6245391389751844,0.1362085525599305
dtlz1,SMS_EMOA,5,1.5078376951397154,0.29933644876460547
dtlz1,SMS_EMOA,6,1.6974956587086458,0.025756431394552807
dtlz1,SMS_EMOA,7,1.6958761893128083,0.03575305144711154
dtlz1,SMS_EMOA,8,1.6980493015485083,0.024540279845544216
dtlz1,SMS_EMOA,9,1.7008910826473436,0.019956075993345937
dtlz1,SMS_EMOA,10,1.5615538001405957,0.22070026132957835
dtlz1,SMS_EMOA,11,1.6985665118704398,0.023923722159178526
dtlz1,SMS_EMOA,12,1.6948859910770284,0.03364157488606609
dtlz1,SMS_EMOA,13,1.6998733281934006,0.02071450955156304
dtlz1,SMS_EMOA,14,1.7013137349587453,0.019460947859226734
dtlz1,SMS_EMOA,15,1.7013171310685329,0.01934467560536073
dtlz1,SMS_EMOA,16,1.6980402139544408,0.025932808571809768
dtlz1,SMS_EMOA,17,1.5173641600394265,0.2940201024793467
dtlz1,SMS_EMOA,18,1.701652648299498,0.019105748146164045
dtlz1,SMS_EMOA,19,1.6985196200469526,0.02368744677596777
dtlz1,SMS_EMOA,20,1.6975604918278873,0.027646565102987825
dtlz1,SMS_EMOA,21,1.7008250939968417,0.020978153776793147
dtlz1,SMS_EMOA,22,1.4627159268201093,0.33619387455045974
dtlz1,SMS_EMOA,23,1.6985949375239577,0.027564136315105677
dtlz1,SMS_EMOA,24,1.7007112991060391,0.020165990007600644
dtlz1,SMS_EMOA,25,1.701341036615458,0.018377961195208656
dtlz1,SMS_EMOA,26,1.7004755565717522,0.020512365998685174
dtlz1,SMS_EMOA,27,1.6973265705096268,0.02849867583993424
dtlz1,SMS_EMOA,28,1.4999228873982813,0.29988474609364896
dtlz1,SMS_EMOA,29,1.700113665938234,0.020435023481155022
dtlz2,NSGA2,0,1.098064899366563,0.07238722600826142
dtlz2,NSGA2,1,1.0990959246268757,0.07796028614839204
dtlz2,NSGA2,2,1.100517061832392,0.06853883560845007
dtlz2,NSGA2,3,1.1017044165650443,0.07337882891142207
dtlz2,NSGA2,4,1.0825280692044936,0.08054348387506956
dtlz2,NSGA2,5,1.1031074557078244,0.06973806032667274
dtlz2,NSGA2,6,1.1028126667772291,0.07182923096919469
dtlz2,NSGA2,7,1.0883930017873034,0.07569848507468369
dtlz2,NSGA2,8,1.102767772735584,0.0731946512030591
dtlz2,NSGA2,9,1.0966848207070357,0.07511800929797957
dtlz2,NSGA2,10,1.1018283665960302,0.07068530396986224
dtlz2,NSGA2,11,1.1008609042270283,0.07299393751015978
dtlz2,NSGA2,12,1.1122944382251596,0.0708093883818663
dtlz2,NSGA2,13,1.099452088353411,0.07417304698664996
dtlz2,NSGA2,14,1.1058584299419192,0.06859404465768172
dtlz2,NSGA2,15,1.0962678891598014,0.07556007533457264
dtlz2,NSGA2,16,1.0984079254378032,0.07501315972208045
dtlz2,NSGA2,17,1.0868456052271926,0.07719730891943548
dtlz2,NSGA2,18,1.105579310545699,0.068069979468141
dtlz2,NSGA2,19,1.0994787705531464,0.07533775798714552
dtlz2,NSGA2,20,1.0987288600900327,0.07468990157117501
dtlz2,NSGA2,21,1.1038984284316002,0.07063847921980722
dtlz2,NSGA2,22,1.0891157475138944,0.07204432113649524
dtlz2,NSGA2,23,1.1037991436608046,0.07384817115279378
dtlz2,NSGA2,24,1.093166335423124,0.0766529446126555
dtlz2,NSGA2,25,1.098656396377924,0.0686327480057852
dtlz2,NSGA2,26,1.1043789563333095,0.0706450122071118
dtlz2,NSGA2,27,1.0987476683958048,0.07277585675072826
dtlz2,NSGA2,28,1.0994382636461566,0.07050361303389424
dtlz2,NSGA2,29,1.097234575189757,0.07171550925563655
dtlz2,SMS_EMOA,0,1.1540018412838484,0.06493027378669834
dtlz2,SMS_EMOA,1,1.1536414565947675,0.06463909207169519
dtlz2,SMS_EMOA,2,1.1536400605844865,0.06680736447923123
dtlz2,SMS_EMOA,3,1.153645659177443,0.06545914053174841
dtlz2,SMS_EMOA,4,1.1534954234442183,0.06478766012444659
dtlz2,SMS_EMOA,5,1.1536780536490583,0.06699606093885375
dtlz2,SMS_EMOA,6,1.1534998222050634,0.06532685478367355
dtlz2,SMS_EMOA,7,1.1539038717141548,0.06864403460574864
dtlz2,SMS_EMOA,8,1.1538932011383465,0.06665000349583966
dtlz2,SMS_EMOA,9,1.1539913652558773,0.06556182221827479
